latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.294,-119.19,345.9,1,1,2020-10-02,0540,T,100,6.0NRT,285,58.3,N
41.025,-106.275,320.2,2.7,1.6,2020-10-02,0945,A,90,6.0NRT,268.8,0,N
41.022,-106.284,323.3,2.7,1.6,2020-10-02,0945,A,93,6.0NRT,269.6,0,N
41.015,-106.254,335.7,2.7,1.6,2020-10-02,0945,A,100,6.0NRT,273.1,0,N
41.002,-106.26,327,2.7,1.6,2020-10-02,0945,A,96,6.0NRT,271.6,0,N
40.94,-106.253,335,2.7,1.6,2020-10-02,0945,A,100,6.0NRT,271.6,159.2,N
40.933,-106.222,321.1,2.7,1.6,2020-10-02,0945,A,91,6.0NRT,267.6,0,N
40.936,-106.26,332.4,2.7,1.6,2020-10-02,0945,A,100,6.0NRT,271.2,142.5,N
40.928,-106.228,326.1,2.7,1.6,2020-10-02,0945,A,99,6.0NRT,269.2,108.7,N
40.574,-110.681,305.2,1.6,1.2,2020-10-02,0945,A,63,6.0NRT,269,22.1,N
41.227,-123.275,312.1,1.8,1.3,2020-10-02,0945,A,84,6.0NRT,291,27.2,N
41.225,-123.254,309,1.8,1.3,2020-10-02,0945,A,61,6.0NRT,289.9,21.6,N
41.214,-123.255,308.7,1.8,1.3,2020-10-02,0945,A,40,6.0NRT,290.1,20.3,N
41.188,-123.234,312.5,1.8,1.3,2020-10-02,0945,A,69,6.0NRT,291,26.7,N
41.176,-123.236,309,1.8,1.3,2020-10-02,0945,A,75,6.0NRT,290.9,21.6,N
41.166,-123.255,324.2,1.8,1.3,2020-10-02,0945,A,100,6.0NRT,292.1,51,N
41.164,-123.236,313.6,1.8,1.3,2020-10-02,0945,A,46,6.0NRT,291.2,27.8,N
41.182,-123.24,313.7,1.8,1.3,2020-10-02,0945,A,39,6.0NRT,291.3,27.8,N
41.16,-123.263,309.7,1.8,1.3,2020-10-02,0945,A,70,6.0NRT,290.6,22,N
41.159,-123.242,324.8,1.8,1.3,2020-10-02,0945,A,100,6.0NRT,292.3,53.8,N
41.078,-123.273,308,1.8,1.3,2020-10-02,0945,A,34,6.0NRT,291.6,18.9,N
41.082,-123.278,305.8,1.8,1.3,2020-10-02,0945,A,54,6.0NRT,291.5,16.7,N
41.08,-123.253,302.4,1.8,1.3,2020-10-02,0945,A,24,6.0NRT,290.2,11.8,N
41.025,-123.309,325.9,1.8,1.3,2020-10-02,0945,A,94,6.0NRT,292.6,54.6,N
41.024,-123.291,328.8,1.8,1.3,2020-10-02,0945,A,100,6.0NRT,292.8,62.3,N
41.013,-123.311,305.5,1.8,1.3,2020-10-02,0945,A,15,6.0NRT,291.6,15.6,N
41.002,-123.314,316.5,1.8,1.3,2020-10-02,0945,A,93,6.0NRT,291.7,35.2,N
41.008,-123.321,308.4,1.8,1.3,2020-10-02,0945,A,37,6.0NRT,290.7,20.2,N
41.006,-123.299,310.4,1.8,1.3,2020-10-02,0945,A,49,6.0NRT,291.8,23.2,N
40.997,-123.324,300,1.8,1.3,2020-10-02,0945,A,4,6.0NRT,289.5,9.5,N
40.422,-123.38,304.4,1.8,1.3,2020-10-02,0950,A,36,6.0NRT,290.5,13.9,N
40.42,-123.356,310.1,1.8,1.3,2020-10-02,0950,A,77,6.0NRT,291.5,22.2,N
40.418,-123.334,305.5,1.8,1.3,2020-10-02,0950,A,36,6.0NRT,290.6,15.5,N
40.404,-123.317,305.5,1.8,1.3,2020-10-02,0950,A,59,6.0NRT,290.2,17.6,N
40.386,-123.238,304.9,1.8,1.3,2020-10-02,0950,A,62,6.0NRT,288.8,17.7,N
40.388,-123.405,305,1.8,1.3,2020-10-02,0950,A,63,6.0NRT,291.2,15.8,N
40.363,-123.384,312.5,1.8,1.3,2020-10-02,0950,A,61,6.0NRT,290.9,26.2,N
40.355,-123.392,333.4,1.8,1.3,2020-10-02,0950,A,100,6.0NRT,291.5,80.5,N
